question_text,Subject,grade,chapter,question_id,total_attempt,3PL,learning_unit,learning_objective,competency_score,competency_score_range,Bloom_tag,Predicted_competency_score_range
Which of the following scenarios best exemplifies a characteristic that is commonly found in living organisms but cannot be observed in non-living objects?,Biology,6,The Living Organisms — Characteristics and Habitats,15573,96,-1.33500106673234,Fundamental Characteristics of Living Organisms,Apply the concept of force to describe the motion of objects in different scenarios.,0.791666666666666,80-90%,Apply,80-90%
Which of the following scenarios best exemplifies a characteristic that is commonly found in living organisms but cannot be observed in non-living objects?,Biology,6,The Living Organisms — Characteristics and Habitats,15573,96,-1.33500106673234,Fundamental Characteristics of Living Organisms,Apply the concept of force to describe the motion of objects in different scenarios.,0.791666666666666,60-70%,Apply,80-90%
"The data shows breathing rate in humans under four different situations. Based on the data, what can most likely be concluded?",Biology,7,Respiration in Organisms,4434,144,-1.33500106673234,Definition of Breathing and Breathing Rate,Summarize the steps involved in the convection cycle.,0.791666666666666,70-80%,Understand,70-80%
"The data shows breathing rate in humans under four different situations. Based on the data, what can most likely be concluded?",Biology,7,Respiration in Organisms,4434,144,-1.33500106673234,Definition of Breathing and Breathing Rate,Define convection and its role in the movement of heat in fluids.,0.791666666666666,60-70%,Remember,60-70%
Which of these substances is/are not acidic in nature?,Chemistry,7,Acids bases and salts,2224,24,-1.33500106673234,Definition of acids,Describe how to measure the time period of a pendulum.,0.791666666666666,70-80%,Understand,70-80%
Four children measured the length of a classroom. Each of them used different ways to measure it.(1) Student P measured it using a thread.(2) Student Q measured it using her hand span.(3) Student R measured it using a metre tape.(4) Student Z measured it using his foot.Which one of them would get the most accurate length?,Physics,6,Motion and Measurement ,4148,216,-1.33500106673234,Comparison between standard and non-standard measurement device,Assess subtraction problems to identify and correct computational errors.,0.791666666666666,70-80%,Analyse,70-80%
Identify the property represented by the mathematical statement:5 × (6 – 7) = 5 × 6 – 5 × 7,Mathematics,7,Integers,13428,283,-1.33410860794932,Distributive property of multiplication over subtraction of integers,Illustrate the formation process of fossil fuels.,0.791519434628975,70-80%,Apply,70-80%
Consider the given number line.Which whole number does point P represent?,Mathematics,6,Whole numbers,15127,546,-1.33222713984961,Representation of whole numbers on a number line,Apply the skill of placing whole numbers on a number line to accurately represent and compare them.,0.791208791208791,70-80%,Apply,70-80%
Consider the following points regarding vaccination. Which of these points is correct?,Biology,8,Microorganisms : Friend And Foe,14611,158,-1.33180617583582,Usage of Microbes in Vaccination,Identify and classify real-life examples of each type of contact force.,0.791139240506329,70-80%,Apply,70-80%
"Shreya planted two same types of plants in pot A and pot B. All the growing conditions were the same for plants in pot A and B except she placed pot A out in the open ground and pot B in a completely dark room(for 7 days). Based on the given scenario, what can likely be concluded? ",Biology,6,Getting to know plants ,1757,201,-1.33123458393686,Introduction to photosynthesis process in plants,"Apply knowledge of circle segments to identify them in real-world objects or images, recognizing their shape and components.",0.791044776119402,70-80%,Apply,70-80%
Which gas is mainly produced when coal is heated in the presence of air?,EVS,8,Coal and petroleum,11134,110,-1.33041390272543,Process and Products Obtained from Coal,"Compare noise pollution caused by external factors like vehicles and explosions, and those caused by household appliances.",0.79090909090909,70-80%,Apply,70-80%
"Look at the table carefully. Select the option which correctly defines P, Q, R, S and T.",Biology,6,Food-where does it come from,106,110,-1.33041390272543,Food habits of various animals,Explain the concept of the distributive property and its application to the multiplication of integers over subtraction.,0.79090909090909,70-80%,Understand,70-80%
"Consider a square JKLM. If JK = 2.3 cm, what is KL + LM?",Mathematics,8,Understanding Quadrilaterals,20122,43,-1.32913594727994,Definition of square,default,0.790697674418604,70-80%,Analyse,70-80%
Which of the following statements is true about Cuscuta's parasitic nutrition?,Biology,7,Nutrition in plants,199,301,-1.32913594727994,"Autotrophic, Heterotrophic, Parasitic, and Insectivorous plants
",Explain why the solubility of gases in water is significant and how it impacts aquatic living organisms.,0.790697674418604,70-80%,Understand,70-80%
Which of the following is a way to reduce surface friction?,Physics,8,Friction ,12387,215,-1.32913594727994,Ways to Reduce Friction,"Students will define unisexual and bisexual flowers, pollination, and fertilization in the context of the life cycle of a flowering plant.",0.790697674418604,70-80%,Remember,70-80%
Read the developmental stages of a frog's life cycle.What is X?,Biology,8,Reproduction in Animals,19143,43,-1.32913594727994,Life Cycle of a Frog,Demonstrate how the direction of the frictional force acts against the direction of motion or intended motion of an object.,0.790697674418604,70-80%,Apply,70-80%
Which of the following is an example of evaporation in our daily life?,Chemistry,6,Separation of Substances,1312,148,-1.32818673031261,Evaporation and condensation as the methods of separation,"Compare and contrast the efficiency of locomotion among earthworms, cockroaches, snails, birds, fishes, and snakes in different environments.",0.79054054054054,70-80%,Analyse,70-80%
"In an activity, four observers read the thermometer to note the temperature of a solution. The image shows the position of the observers.Which observer measures the temperature correctly?",Physics,7,Heat,14378,148,-1.32818673031261,Correct Way of using Laboratory thermometer,Use phenolphthalein to identify the acidic or basic nature of a given solution.,0.79054054054054,80-90%,Apply,70-80%
"In an activity, four observers read the thermometer to note the temperature of a solution. The image shows the position of the observers.Which observer measures the temperature correctly?",Physics,7,Heat,14378,148,-1.32818673031261,Correct Way of using Laboratory thermometer,Use phenolphthalein to identify the acidic or basic nature of a given solution.,0.79054054054054,70-80%,Apply,70-80%
"In an activity, four observers read the thermometer to note the temperature of a solution. The image shows the position of the observers.Which observer measures the temperature correctly?",Physics,7,Heat,14378,148,-1.32818673031261,Correct Way of using Laboratory thermometer,Use phenolphthalein to identify the acidic or basic nature of a given solution.,0.79054054054054,70-80%,Apply,70-80%
"Consider the given data.75, 78, 62, 85, 21, 33Which of the following expressions can be used to find the range of the given data?",Mathematics,7,Data Handling,18165,105,-1.32779815443828,Definition of range of the observations,Define the reciprocal of a fraction.,0.79047619047619,70-80%,Remember,70-80%
Consider the following statements.Statement I: Every number is divisible by 1.Statement II: Each number is a divisor of itself.Which of these statements is/are correct?,Mathematics,6,Playing with numbers,18388,334,-1.32745386109695,Factor of number,Explain factors as numbers that divide another number without leaving a remainder.,0.790419161676646,70-80%,Understand,70-80%
A worker works in the construction industry in which he operates heavy machinery like cement mixers and drills that produce loud noise while operating. Which of the following ailments is he likely to develop over time due to his occupation?,Physics,8,Sound,19595,167,-1.32745386109695,Effects of noise pollution on human health,Provide examples of common bases used in household products.,0.790419161676646,70-80%,Apply,70-80%
What is the importance of the large intestine in maintaining water balance in the body?,Biology,7,Nutrition in animals,9896,186,-1.32687094064908,Definition of human digestive system,"Students will describe the situations where sedimentation, decantation, and filtration are used.",0.790322580645161,70-80%,Understand,70-80%
Select the option showing correct application of distributive property of multiplication over subtraction.,Mathematics,7,Integers,2846,62,-1.32687094064908,Distributive property of multiplication over subtraction of integers,Illustrate the formation process of fossil fuels.,0.790322580645161,70-80%,Apply,70-80%
Why do farmers plant leguminous crops after harvesting cereals?,Biology,8,Microorganisms : Friend And Foe,10543,81,-1.32566973930345,Role of Microbes in Soil Health,List the different types of non contact forces.,0.790123456790123,70-80%,Remember,70-80%
Which of the following numbers is equal to (–4) + (+8)?,Mathematics,6,Integers,2682,1396,-1.32561641023643,Addition of integers using rules of signs,Explain the concept of the predecessor of an integer and how it is found using the number line.,0.790114613180515,70-80%,Understand,70-80%
Which one of the following is equal to (– 25) + (– 82)?,Mathematics,6,Integers,254,200,-1.32492541474359,Addition of integers using rules of signs,Recall the definition of the successor of an integer and its relation to the given integer.,0.79,70-80%,Remember,70-80%
Which one of the following is equal to (– 25) + (– 82)?,Mathematics,6,Integers,254,200,-1.32492541474359,Addition of integers using rules of signs,Explain the concept of the predecessor of an integer and how it is found using the number line.,0.79,70-80%,Understand,70-80%
A student collects the data of three unknown musical instruments and their method of production of sound as listed below in the table.What could be the identities of the vibrating parts of these three instruments?,Physics,8,Sound,21485,119,-1.3244189574018,"Musical Instruments and their Vibrating Parts (string, wind, and percussion)","Apply the logic behind the consequences of smoking on the human respiratory system, considering how it affects lung function, gas exchange, and overall respiratory health.",0.789915966386554,70-80%,Apply,70-80%
A student collects the data of three unknown musical instruments and their method of production of sound as listed below in the table.What could be the identities of the vibrating parts of these three instruments?,Physics,8,Sound,21485,119,-1.3244189574018,"Musical Instruments and their Vibrating Parts (string, wind, and percussion)","Apply the logic behind the consequences of smoking on the human respiratory system, considering how it affects lung function, gas exchange, and overall respiratory health.",0.789915966386554,70-80%,Apply,70-80%
A student collects the data of three unknown musical instruments and their method of production of sound as listed below in the table.What could be the identities of the vibrating parts of these three instruments?,Physics,8,Sound,21485,119,-1.3244189574018,"Musical Instruments and their Vibrating Parts (string, wind, and percussion)","Apply the logic behind the consequences of smoking on the human respiratory system, considering how it affects lung function, gas exchange, and overall respiratory health.",0.789915966386554,60-70%,Apply,70-80%
"What could be the possible value of x, so that – 9 &lt; – 5 &lt; x &lt; – 1 &lt; 0 &lt; 2 is true?",Mathematics,6,Integers,2572,252,-1.32301291117237,Order of integers,Explain the concept of adding integers and the rationale behind the rules for different sign combinations.,0.789682539682539,70-80%,Understand,70-80%
Which of the following number lines correctly shows 26 − 4?,Mathematics,6,Whole numbers,15170,76,-1.32175583998231,Subtraction of whole numbers on number line,Real-world applications of subtraction of whole numbers on the number line.,0.789473684210526,70-80%,Apply,70-80%
"In the given figure, ∠a and ∠b are ___________",Mathematics,7,Lines and Angles,22176,114,-1.32175583998231,Definition of adjacent angles,Define simple equation.,0.789473684210526,70-80%,Remember,70-80%
"Consider the following statements: 

Zig zag propagation of light. 
Curvilinear propagation of light.
Rectilinear propagation of light. 

Which statement highlights the correct property of light that helps it form a shadow?",Physics,6,"Light, shadow and reflection",1875,665,-1.32175583998231,Light travels in straight line,Apply the knowledge of cube roots to calculate the cube root of numbers.,0.789473684210526,70-80%,Apply,70-80%
How many lakhs make one crore?,Mathematics,6,Knowing our numbers,48,446,-1.32033639332809,Place value system in whole numbers (upto 9-digit numbers),Apply the understanding of the place value system to represent multi-digit whole numbers.,0.789237668161434,70-80%,Apply,70-80%
Which statement accurately describes microorganisms?,Biology,8,Microorganisms : Friend And Foe,10500,512,-1.31928365083693,Introduction to Microorganisms,Analyze the effectiveness of each method in different environments.,0.7890625,70-80%,Apply,70-80%
Four types of magnets are shown in the image. Observe them and choose the correct name combination for each magnet from the following options.,Physics,6,Fun with magnets ,19874,128,-1.31928365083693,Identification of types of artificial magnets ,Recall the standard multiplication approach for multiplying large whole numbers.,0.7890625,70-80%,Remember,70-80%
Which animal eats only the food from Group A? why?,Biology,6,Food-where does it come from,139,90,-1.31824089787487,Food habits of various animals,Analyze mathematical equations to demonstrate the use of the distributive property and its effect on integer expressions involving subtraction.,0.788888888888888,70-80%,Analyse,70-80%
Fill in with the correct option:When rice is washed with water before cooking then water is separated from it by _______ process.,Chemistry,6,Separation of Substances,1297,142,-1.31730148963293,"Sedimentation, loading, decantation and filtration",Identify everyday examples of periodic and non-periodic motions.,0.788732394366197,70-80%,Understand,70-80%
The given equation represents commutative property for multiplication of two integers.(−21) × c = (−19) ×  dWhat are the values of c and d?,Mathematics,7,Integers,13156,123,-1.3166144404819,Commutative property for multiplication of integers,Demonstrate the effects of these harmful byproducts on the environment and health.,0.788617886178861,70-80%,Apply,70-80%
Which one of the given numbers if included in natural numbers would form whole numbers?,Mathematics,6,Whole numbers,471,596,-1.31645078775262,Definition of whole number,Define natural number.,0.788590604026845,70-80%,Remember,70-80%
"Which of the following digits makes the statement true?5,p36 rounded to the nearest hundred is 5,900.",Mathematics,6,Knowing our numbers,13507,52,-1.31567679390593,Estimation of whole numbers to the nearest place by rounding off,Recall the names of common metric prefixes used in the SI system.,0.788461538461538,70-80%,Remember,70-80%
Which operation of numbers does the number line represent?,Mathematics,6,Whole numbers,2441,52,-1.31567679390593,Addition of whole numbers on number line,Real-world applications of addition of whole numbers on the number line.,0.788461538461538,80-90%,Apply,70-80%
Which operation of numbers does the number line represent?,Mathematics,6,Whole numbers,2441,52,-1.31567679390593,Addition of whole numbers on number line,Real-world applications of addition of whole numbers on the number line.,0.788461538461538,90-100%,Apply,70-80%
Which operation of numbers does the number line represent?,Mathematics,6,Whole numbers,2441,52,-1.31567679390593,Addition of whole numbers on number line,Real-world applications of addition of whole numbers on the number line.,0.788461538461538,80-90%,Apply,70-80%
Which operation of numbers does the number line represent?,Mathematics,6,Whole numbers,2441,52,-1.31567679390593,Addition of whole numbers on number line,Real-world applications of addition of whole numbers on the number line.,0.788461538461538,70-80%,Apply,70-80%
Which operation of numbers does the number line represent?,Mathematics,6,Whole numbers,2441,52,-1.31567679390593,Addition of whole numbers on number line,Real-world applications of addition of whole numbers on the number line.,0.788461538461538,80-90%,Apply,70-80%
Which operation of numbers does the number line represent?,Mathematics,6,Whole numbers,2441,52,-1.31567679390593,Addition of whole numbers on number line,Real-world applications of addition of whole numbers on the number line.,0.788461538461538,80-90%,Apply,70-80%
Anita is labeling the slots of an organizer to place her paint tubes. She labeled the slots with consecutive numbers starting from – 10 to 6. She wants to place the oil paints in slots with negative numbers. How many slots will contain oil paints?,Mathematics,6,Integers,20880,52,-1.31567679390593,Definition of negative integers,Describe why a scalene triangle has two sides of equal length and the implications of this property.,0.788461538461538,70-80%,Understand,70-80%
For three different numbers to form a Pythagorean triplet ______________.,Mathematics,7,The Triangle and its Properties,23793,52,-1.31567679390593,Pythagorean triplets,Explain purpose of converting equations into statement form.,0.788461538461538,70-80%,Understand,70-80%
"In the given model, what will happen when the balloon at the base of the bottle is pulled?",Biology,7,Respiration in Organisms,4371,52,-1.31567679390593,Mechanism of Breathing in Humans,Define radiation as a method of heat transfer.,0.788461538461538,70-80%,Remember,70-80%
A college student opts for a rolling suitcase or trolley over a regular suitcase when going on a trip. What makes rolling suitcases more preferred than regular ones for travel?,Physics,8,Friction ,12456,52,-1.31567679390593,Definition and Significance of Rolling Friction,"Students will explain the difference between aerobic and anaerobic respiration, and infer the need for energy in various processes.",0.788461538461538,70-80%,Understand,70-80%
Which of the following minerals is essential for healthy bones and teeth?,Biology,6,Components of Food ,13380,416,-1.31567679390593,Minerals' functions and sources for human body,Explain the meaning of the distributive property in the context of multiplying and subtracting whole numbers.,0.788461538461538,70-80%,Understand,70-80%
A zoologist observed adaptations in some organisms living in different habitats. The table shows the adaptations of four organisms.Which of these organisms is adapted to live in a terrestrial habitat?,Biology,6,The Living Organisms — Characteristics and Habitats,15514,562,-1.3144462769336,Definition of habitats and adaptations.,Identify the tools and methods used for measuring curved lines.,0.788256227758007,70-80%,Remember,70-80%
"In an upscale housing development, the cost of a villa is ₹2,50,00,000. If Sunita purchases 2 villas and Anil purchases 3 villas, which of the following statements is correct?",Mathematics,6,Knowing our numbers,13686,85,-1.3143208614948,Multiplication of large whole numbers (6-9 digit numbers),"Analyze the role of specific microbes in the development of vaccines for different diseases, considering their mode of action and effectiveness.",0.788235294117647,70-80%,Analyse,70-80%
A student listed down the food habits of various animals for a project as shown in the given table.The teacher saw the table and informed the student that he had made a mistake in the table. What is the mistake that the student has made in the given table?,Biology,6,Food-where does it come from,14156,85,-1.3143208614948,Food habits of various animals,Analyze mathematical equations to demonstrate the use of the distributive property and its effect on integer expressions involving subtraction.,0.788235294117647,70-80%,Analyse,70-80%
Fill in the blank with the correct option.________  is not a common characteristic of all living organisms.,Biology,6,The Living Organisms — Characteristics and Habitats,5472,118,-1.31372366828505,Fundamental Characteristics of Living Organisms,Explain how force is a push or pull that can change the state of motion of an object.,0.788135593220339,70-80%,Understand,70-80%
Which one of the following is equal to (– 37) + (– 88)?,Mathematics,6,Integers,2670,184,-1.31317209629092,Addition of integers using rules of signs,Analyse the spacing and intervals on a number line to determine the difference between integer positions.,0.788043478260869,70-80%,Analyse,70-80%
Fill in the blank:The number 10748366 in the International system of numeration can be written as                  .,Mathematics,6,Knowing our numbers,9235,33,-1.31218638896616,Placement of commas in International System of Numeration,Identify the place values represented by each numerical position in the Indian System of Numeration.,0.787878787878787,70-80%,Remember,70-80%
Which of the following numbers is divisible by 3?,Mathematics,6,Playing with numbers,1082,33,-1.31218638896616,Test for divisibility by 3,Apply the rule for divisibility by 2 to determine if a number is divisible by 2 or not.,0.787878787878787,70-80%,Apply,70-80%
Which of the following numbers is divisible by 3?,Mathematics,6,Playing with numbers,1082,33,-1.31218638896616,Test for divisibility by 3,Find out the divisibility rule for 2.,0.787878787878787,70-80%,Understand,70-80%
Which of the following numbers is divisible by 3?,Mathematics,6,Playing with numbers,1082,33,-1.31218638896616,Test for divisibility by 3,Analyse the digit sum of numbers to determine whether they meet the conditions of the divisibility rule for 3,0.787878787878787,60-70%,Analyse,60-70%
Which of the following shapes would NOT be classified as a curve?,Mathematics,6,Basic geometrical ideas,22051,33,-1.31218638896616,Definition of curve,"Apply the understanding of rays to identify and label them in geometric diagrams, distinguishing them from line segments and lines.",0.787878787878787,70-80%,Apply,70-80%
The diagram shows two plane mirrors placed parallel to each other with a ray of light falling on it.How many times the light reflected from the 1st mirror and the 2nd mirror ?,Physics,6,"Light, shadow and reflection",1904,231,-1.31218638896616,Demonstration of reflection of light,Explain the concept of squaring a terminating decimal and how it's related to the original decimal.,0.787878787878787,70-80%,Understand,70-80%
Complete the given statement: ____________ is the process by which heat is transferred from the hotter end to the colder end of an object.,Physics,7,Heat,3088,66,-1.31218638896616,Process of heat conduction,Give all the functions of a typical flower.,0.787878787878787,70-80%,Understand,70-80%
What do we need to know to decide which object is moving faster or slower between two objects?,Physics,7,Motion and time,16151,33,-1.31218638896616,Differentiating Objects as Moving Slow or Fast,Students will identify adaptations used by various prey and predators.,0.787878787878787,70-80%,Remember,70-80%
The table shows the daily activities followed by four adolescent girls after they come back from school.Which adolescent girl will be healthy and fit?,Biology,8,Reaching The Age Of Adolescence,19309,33,-1.31218638896616,Adolescent Reproductive health,"Demonstrate the effects of force by conducting simple experiments to show changes in shape, motion, and direction of motion.",0.787878787878787,70-80%,Apply,70-80%
Consider the mathematical statement below:7 − 4  ≠ 4 − 7What does this statement show?,Mathematics,7,Integers,13469,66,-1.31218638896616,Examination of commutative property for subtraction of integers,Apply the knowledge of petroleum refining to identify the products obtained at each stage.,0.787878787878787,70-80%,Apply,70-80%
"Read the following criteria related to an object X.P – It bulged due to contraction.Q – It pulls the bone.R – When contracted, it becomes shorter, stiffer and thicker. Which among the following satisfies the criteria P, Q, and R?",Biology,6,Body Movements,2867,113,-1.31058253938419,"Muscles(skeletal muscles)-definition, function, characteristics",Use distance measurements from reference points or edges to describe where a point is located on a plane.,0.787610619469026,70-80%,Apply,70-80%
"While studying laboratory thermometers, student P makes a remark that it is not environmentally friendly, whereas student Q argues that it is safe to use and environmentally friendly. Which student’s statement is correct?",Physics,7,Heat,13345,532,-1.31048310120979,Physical Components of Laboratory thermometer,Interpret the color changes of these indicators in various solutions.,0.787593984962406,70-80%,Apply,70-80%
"A garment house manufactures 7,65,000 shirts each day. Which of the following expressions can be used to find the number of shirts manufactured in a week?",Mathematics,6,Knowing our numbers,12982,127,-1.30933331998376,Multiplication of large whole numbers (6-9 digit numbers),"Demonstrate the process of vaccine administration, including proper storage, handling, and the importance of vaccination schedules.",0.787401574803149,70-80%,Apply,70-80%
Which of the following is not a polygon?,Mathematics,6,Basic geometrical ideas,1433,409,-1.30864342688982,Definition and elements of a polygon,"Recall the definitions of simple, closed, and open curves.",0.787286063569682,80-90%,Remember,70-80%
Which of the following is not a polygon?,Mathematics,6,Basic geometrical ideas,1433,409,-1.30864342688982,Definition and elements of a polygon,"Apply the knowledge of regions formed by closed curves to correctly identify and label interior, exterior, and boundary areas in given diagrams",0.787286063569682,70-80%,Apply,70-80%
"The table lists some scenarios of a force being applied to an object:In which scenario, does the object need to be pushed to move?",Physics,6,Motion and Measurement ,11641,183,-1.30625165344635,Force - a push or pull,Explain the concept of multiplying a monomial by a binomial and provide examples to illustrate the process.,0.786885245901639,70-80%,Understand,70-80%
Select the option that correctly defines atmospheric pressure.,Physics,8,Force and pressure,11368,61,-1.30625165344635,Definition of atmospheric pressure,Students will analyze the role of enzymes in the saprotrophic mode of nutrition.,0.786885245901639,70-80%,Analyse,70-80%
Match column I with column II and select the correct option.,Chemistry,8,Combustion and Flame,11491,244,-1.30625165344635,"Types of Combustion (e.g., Rapid, Spontaneous)",Demonstrate through a hands-on activity how an object transitions from static to limiting friction before movement occurs.,0.786885245901639,50-60%,Apply,70-80%
Match column I with column II and select the correct option.,Chemistry,8,Combustion and Flame,11491,244,-1.30625165344635,"Types of Combustion (e.g., Rapid, Spontaneous)","Explain the differences between static, limiting, and sliding friction using appropriate examples",0.786885245901639,70-80%,Understand,70-80%
"A teacher wrote some examples of chemical change on the blackboard.
Identify from the following which statements are correct about chemical changes.",Chemistry,7,Physical and chemical changes,3881,258,-1.30587279380931,Introduction to Chemical Changes,"Apply knowledge of the modes of food intake to categorize specific examples of animals under each mode, explaining how their feeding structures are adapted to their chosen mode of intake.",0.786821705426356,70-80%,Apply,70-80%
Which of the following statements is always true about a number divisible by 10?,Mathematics,6,Playing with numbers,17193,136,-1.30553300447543,Test for divisibility by 10,Find out the divisibility rule for 9.,0.786764705882352,70-80%,Understand,70-80%
Consider the figure given below.         Which one of the following options correctly represents the base and height of the given parallelogram?,Mathematics,8,Understanding Quadrilaterals,8564,75,-1.30494872166593,Definition of parallelogram,Apply the knowledge of coefficients to identify them in given algebraic terms.,0.786666666666666,70-80%,Apply,70-80%
"A student attempts to ignite two substances, X and Y, using fire, both in the absence and presence of oxygen. Her observations are given in the table below:How can substances X and Y be classified?",Chemistry,8,Combustion and Flame,11686,253,-1.30432077816021,Combustible and Non-combustible substances,List the factors affecting fluid friction,0.786561264822134,70-80%,Remember,70-80%
Which of the following is an example of physical change?,Chemistry,7,Physical and chemical changes,16899,89,-1.30405626288291,Introduction to Physical Changes,Apply knowledge of the human digestive system to describe the functions of its individual components.,0.786516853932584,70-80%,Apply,70-80%
How should a line segment be extended to form a line?,Mathematics,6,Basic geometrical ideas,21216,379,-1.30264433183296,Definition of line,Define a point.,0.786279683377308,70-80%,Remember,70-80%
Which of the following is the rational number ‘I’ in the given number line?,Mathematics,7,Rational Numbers,7518,257,-1.30093451216873,Representation of rational numbers on a number line,Apply the converse of the Pythagoras property to determine whether a given triangle is right-angled.,0.785992217898832,70-80%,Apply,70-80%
Which of the following numbers is a prime number?,Mathematics,6,Playing with numbers,9522,70,-1.29928298413026,Prime number,Describe the characteristics that distinguish a perfect number from other types of numbers,0.785714285714285,70-80%,Understand,70-80%
Which of the following numbers is a prime number?,Mathematics,6,Playing with numbers,9522,70,-1.29928298413026,Prime number,Describe the characteristics that distinguish a perfect number from other types of numbers,0.785714285714285,90-100%,Understand,70-80%
Which of the following numbers is a prime number?,Mathematics,6,Playing with numbers,9522,70,-1.29928298413026,Prime number,Describe the characteristics that distinguish a perfect number from other types of numbers,0.785714285714285,70-80%,Understand,70-80%
Fill in the blank with the correct option:A number is divisible by 6 if it is divisible by both _______ and _______.,Mathematics,6,Playing with numbers,18529,28,-1.29928298413026,Test for divisibility by 6,List the rule that a number is divisible by 5 if it has either 5 or 0 in its ones place.,0.785714285714285,70-80%,Remember,70-80%
Classify the given figures as polygons and non-polygons.,Mathematics,6,Basic geometrical ideas,1445,42,-1.29928298413026,Definition and elements of a polygon,"Recall the definitions of simple, closed, and open curves.",0.785714285714285,70-80%,Remember,70-80%
Look at the given figure.Which line out of these is the transversal?,Mathematics,7,Lines and Angles,22043,28,-1.29928298413026,Definition of transversal,Explain how same-number operations preserve equation balance.,0.785714285714285,70-80%,Understand,70-80%
Which option shows the square root of a natural number m?,Mathematics,8,Squares and square roots,11836,42,-1.29928298413026,Definition of square root,"Explain the concept of converting large numbers into standard form, emphasising its role in expressing values across different scales.",0.785714285714285,70-80%,Understand,70-80%
Observe the image carefully. Identify A.,Biology,6,Getting to know plants ,2123,28,-1.29928298413026,A typical plant's flower-structure and function,"Construct a basic electric circuit using given components, while adhering to a list of safety precautions.",0.785714285714285,40-50%,Apply,40-50%
Observe the image carefully. Identify A.,Biology,6,Getting to know plants ,2123,28,-1.29928298413026,A typical plant's flower-structure and function,"Construct a basic electric circuit using given components, while adhering to a list of safety precautions.",0.785714285714285,70-80%,Apply,40-50%
"Following is the pair of Assertion (A) and Reason (R). Read them carefully and choose the correct option:
Assertion: Ploughing is an essential agricultural practice.Reason: Ploughing helps in breaking the soil, improving aeration and facilitating better root penetration.",Biology,8,Crop production and management,10152,70,-1.29928298413026,Soil preparation for crop production,Apply the knowledge of physical and chemical changes to classify given examples.,0.785714285714285,70-80%,Apply,70-80%
"When adding like fractions, which of the following does not change? ",Mathematics,6,Fractions,16768,42,-1.29928298413026,Addition of like fractions,"Introduce different types of combustion, including rapid and spontaneous combustion.",0.785714285714285,70-80%,Remember,70-80%
"What is the term used to describe “a distinct, centrally located spherical structure"" within a cell?",Biology,8,The Cell - structure and function ,13921,275,-1.29774096377844,"Parts of a cell (cell wall, cell membrane, nucleus, cytoplasm)",Students will describe the process and benefits of recycling paper.,0.785454545454545,70-80%,Understand,70-80%
"Complete the sentence:Hydrochloric acid reacts with sodium hydroxide to form water and salt, some ____________________is also produced in this reaction.",Chemistry,7,Acids bases and salts,1769,149,-1.29643803199802,Definition of neutralisation reaction,"Compare various types of pendulums and analyze the similarities and differences in their design and function, focusing on the simple pendulum.",0.785234899328859,70-80%,Analyse,70-80%
What other food components do humans require besides minerals?,Biology,6,Components of Food ,9445,242,-1.29578035357905,"Definition of nutrients, types, and their sources.",Apply knowledge of linear graphs to identify and recognize linear relationships when presented with a graph.,0.785123966942148,70-80%,Apply,70-80%
Choose the appropriate options.The magnetic strength at the pole of a bar magnet is       X       and at the centre of the bar magnet is       Y      ,Physics,6,Fun with magnets ,19958,107,-1.29532258291416,Distribution of magnetic strength in different magnets ,Identify examples where subtraction of whole numbers does not maintain the closure property.,0.785046728971962,70-80%,Apply,70-80%
The following diagram has _______ number of line segments.,Mathematics,6,Basic geometrical ideas,1171,307,-1.29514219146422,Definition of line segment,Compare and contrast the properties of points with those of other geometric elements,0.785016286644951,70-80%,Analyse,70-80%
Select the option that matches the curves with their correct classification.,Mathematics,6,Basic geometrical ideas,22312,93,-1.2947271675944,Classification of curves,Explain the concept of ray and identify rays.,0.784946236559139,70-80%,Understand,70-80%
"In ΔPQR, which side is opposite to vertex Q?                    ",Mathematics,6,Basic geometrical ideas,2457,237,-1.29392104098887,Lexical explanation of triangle,"Apply the knowledge of angle components to accurately label and describe the arms or sides, vertex, interior, and exterior of various angles in given geometric figures.",0.784810126582278,70-80%,Apply,70-80%
Fill in the blank._____________________ was formed from organisms living in the sea.,EVS,8,Coal and petroleum,12918,79,-1.29392104098887,Formation of petroleum and its deposits,Compare and contrast the characteristics of sounds with different loudness and pitch,0.784810126582278,70-80%,Apply,70-80%
Consider the following claims made by Ajay:Claim 1: Only some of the whole numbers have a successor.Claim 2: The successor of 9999 is a five-digit number.Which of these claim(s) is/are correct?,Mathematics,6,Whole numbers,15621,65,-1.29276830310906,Successor of whole numbers,Identify the predecessor of a given number.,0.784615384615384,70-80%,Understand,70-80%
Write the smallest digit in the blank space of the following number so that the number formed is divisible by 3.5_381,Mathematics,6,Playing with numbers,17164,130,-1.29276830310906,Test for divisibility by 3,Apply the rule for divisibility by 2 to determine if a number is divisible by 2 or not.,0.784615384615384,70-80%,Apply,70-80%
Which of the following statements is true when dividing a positive integer by a negative integer?,Mathematics,7,Integers,9151,116,-1.29198368164864,Division of integers by non zero integer,"Solve problems involving different quantities, using the correct order of numbers and ensuring the ratio is simplified to its simplest form.",0.784482758620689,70-80%,Apply,70-80%
"The table lists a few points about the physical components of clinical thermometers
Which point is incorrectly mentioned in the list?",Physics,7,Heat,13949,450,-1.29175707842991,Physical Components of a Clinical thermometer,"Memorize the basic characteristics and differences of mean, median, and mode.",0.784444444444444,70-80%,Remember,70-80%
